分类,型号,厂商,参考价格,价格币种,价格类型,发行日期,性能指标,商品描述,采集日期,来源链接
CPU,Ryzen 9 9950X3D,AMD,699,USD,首发建议价,2025-03-12,"16核32线程; 最高5.7GHz; 144MB缓存; 170W TDP; AM5; DDR5","高端游戏和创作处理器，采用3D V-Cache，适合旗舰AM5平台。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 9900X3D,AMD,599,USD,首发建议价,2025-03-12,"12核24线程; 最高5.5GHz; 140MB缓存; 120W TDP; AM5; DDR5","面向游戏和多任务的高端X3D处理器，兼顾频率和大缓存。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 9800X3D,AMD,479,USD,首发建议价,2024-11-07,"8核16线程; 最高5.2GHz; 104MB缓存; 120W TDP; AM5; DDR5","热门游戏处理器，第二代3D V-Cache设计，适合高帧率游戏主机。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 9950X,AMD,649,USD,首发建议价,2024-08-15,"16核32线程; 最高5.7GHz; 80MB缓存; 170W TDP; AM5; DDR5","Zen 5旗舰常规版处理器，偏重多线程创作和高端桌面。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 9900X,AMD,499,USD,首发建议价,2024-08-15,"12核24线程; 最高5.6GHz; 76MB缓存; 120W TDP; AM5; DDR5","高端主流Zen 5处理器，适合游戏、开发和内容创作。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 9700X,AMD,359,USD,首发建议价,2024-08-08,"8核16线程; 最高5.5GHz; 40MB缓存; 65W TDP; AM5; DDR5","低功耗高性能Zen 5处理器，适合中高端游戏与日常生产力。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 9600X,AMD,279,USD,首发建议价,2024-08-08,"6核12线程; 最高5.4GHz; 38MB缓存; 65W TDP; AM5; DDR5","主流Zen 5桌面处理器，适合中端游戏平台。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 9700F,AMD,299,USD,建议价参考,2025-Q3,"8核16线程; Zen 5; AM5; DDR5; 无核显","面向预算装机的无核显Zen 5处理器，适合搭配独立显卡。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 9500F,AMD,189,USD,建议价参考,2025-Q3,"6核12线程; Zen 5; AM5; DDR5; 无核显","入门到主流级无核显处理器，适合独显游戏配置。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 8700G,AMD,329,USD,首发建议价,2024-01-31,"8核16线程; 最高5.1GHz; Radeon 780M核显; 65W TDP; AM5; DDR5","高性能APU，适合不装独显的小型台式机或过渡配置。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 8600G,AMD,229,USD,首发建议价,2024-01-31,"6核12线程; 最高5.0GHz; Radeon 760M核显; 65W TDP; AM5; DDR5","主流APU，适合办公、轻度游戏和小型主机。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 8500G,AMD,179,USD,首发建议价,2024-01-31,"6核12线程; 最高5.0GHz; Radeon 740M核显; 65W TDP; AM5; DDR5","入门级AM5 APU，适合低预算无独显配置。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 7950X3D,AMD,699,USD,首发建议价,2023-02-28,"16核32线程; 最高5.7GHz; 144MB缓存; 120W TDP; AM5; DDR5","上一代高端X3D旗舰，游戏和生产力表现仍有竞争力。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
